PARENT_PARK,NAME,TOTAL_AREA,YEAR,water_usage_summer,water_usage_autumn,water_usage_winter,water_usage_spring,water_usage_year,RF_summer,RF_autumn,RF_winter,RF_spring,RF_year,ET_summer,ET_autumn,ET_winter,ET_spring,ET_year
72322,SHORE RESERVE,11290,2013,711,755,224,1679,3369,109,115,217.7000008,185.2000008,626.9000016,482.2000008,247.1000012,128.6999998,304.3999996,1162.400001
71575,MONT ALBERT RESERVE,15848,2013,0,0,0,0,0,131.9000025,115.3999977,248.4999962,214.4000015,710.1999979,478.9000026,238.9999994,122.1999997,295.2,1135.300002
648925,REDDISH RESERVE,11041,2013,59,197,91,60,407,110.8000031,116.0000019,223.7000046,186.5,637.0000096,479.7000001,242.0999995,122.0999992,297.7999992,1141.699998
1009827,MONTMORENCY PARK,25124,2013,219,207,358,136,920,136.9999976,111.5999966,222.7000008,196.9000053,668.2000003,483.3000002,238.2000005,119.7999999,291.8999995,1133.2
70681,G H MOTT RESERVE,7636,2013,43,15,2,0,60,116.3000038,121.7999992,233.9000053,189.5999985,661.6000068,481.7000003,244.8999999,126.6999997,303.8999999,1157.2
1009819,BINNAK PARK,17098,2013,0,0,0,0,0,136.9999976,111.5999966,222.7000008,196.9000053,668.2000003,483.3000002,238.2000005,119.7999999,291.8999995,1133.2
1009774,VIEWBANK RESERVE,7870,2013,12,17,8,31,68,131.7999992,109.5999985,229.6000061,198.1999969,669.2000007,485.0000013,241.500002,123.6999998,296.4,1146.600003
1176095,GLENFERRIE OVAL,17147,2013,0,0,0,0,0,126.0999975,121.2000008,232.7999992,205.2999954,685.3999929,482.2000017,244.0000001,127.6999999,304.4999988,1158.400001
999292,HOWARD DAWSON RESERVE,12625,2013,0,0,0,0,0,137,116,242.4000015,209.4000015,704.800003,476.9000027,243.9000004,127.2999995,303.4999998,1151.600002
70750,GLENBURN BEND PARK,95881,2013,2820,2462,1709,2067,9058,137,116,242.4000015,209.4000015,704.800003,476.9000027,243.9000004,127.2999995,303.4999998,1151.600002
80999,ZERBES RESERVE,13933,2013,28,77,172,123,400,134.6999984,120.3999996,264.4999924,219.7999954,739.3999858,474.4000005,235.199999,119.3999998,288.3000011,1117.3
1267709,BREARLEY RESERVE,10459,2013,25,14,10,68,117,109,115,217.7000008,185.2000008,626.9000016,482.2000008,247.1000012,128.6999998,304.3999996,1162.400001
80970,YARRA JUNCTION MEMORIAL RESERVE,18298,2013,143,118,139,58,458,190.8999996,211.0999985,381.1000061,373.4000015,1156.500006,458.6000002,221.9000006,103.9999996,262.099999,1046.599999
71251,L E COTCHIN RESERVE,17777,2013,16,17,19,2,54,116.8000031,122.5999966,241.4000015,190.0999985,670.8999997,481.9999985,240.0999996,121.5999993,297.5999993,1141.299997
72562,TED AJANI RESERVE,17103,2013,1979,4681,148,151,6959,131.7999992,109.5999985,229.6000061,198.1999969,669.2000007,485.0000013,241.500002,123.6999998,296.4,1146.600003
1009768,FORD PARK,34750,2013,0,0,0,0,0,123.8000045,115.2999973,233.2999992,199.4000053,671.8000063,482.9000001,241.7000012,124.3999998,300.8999998,1149.900001
72305,SHEEPSTATION CREEK RECREATION RESERVE,9637,2013,10,3,0,0,13,156.6324945,176.060303,322.7667366,319.1815488,974.6410829,466.5148143,224.9881742,107.749122,270.9479517,1070.200062
